line_id,kind,label,block_id,split,x,y
road_0,road,1,65.0,val,621491.2292760131,4595185.5202229405
road_0,road,1,65.0,val,621494.4782710412,4595183.186978138
road_0,road,1,65.0,val,621497.7272660693,4595180.853733336
road_0,road,1,65.0,val,621500.9762610974,4595178.520488533
road_0,road,1,65.0,val,621504.2252561254,4595176.187243732
road_0,road,1,65.0,val,621507.4742511535,4595173.853998929
road_0,road,1,65.0,val,621510.7232461816,4595171.520754127
road_0,road,1,65.0,val,621514.4164596543,4595170.11495661
road_0,road,1,65.0,val,621518.2709409157,4595169.045856892
road_0,road,1,65.0,val,621522.125422177,4595167.976757174
road_0,road,1,65.0,val,621525.9799034384,4595166.9076574575
road_0,road,1,65.0,val,621529.5272149617,4595165.119817756
road_0,road,1,65.0,val,621532.963808819,4595163.072912125
road_0,road,1,65.0,val,621536.4004026763,4595161.026006495
road_0,road,1,65.0,val,621539.8369965336,4595158.979100864
road_0,road,1,65.0,val,621543.496763224,4595157.564472181
road_0,road,1,65.0,val,621547.4568204936,4595157.000604801
road_0,road,1,65.0,val,621551.4168777631,4595156.436737422
road_0,road,1,65.0,val,621555.3769350327,4595155.872870042
road_0,road,1,65.0,val,621559.3409604881,4595155.39303789
road_0,road,1,65.0,val,621563.3365306943,4595155.581236528
road_0,road,1,65.0,val,621567.3321009004,4595155.769435166
road_0,road,1,65.0,val,621571.3276711066,4595155.957633805
road_0,road,1,65.0,val,621575.1770911306,4595156.71391678
road_0,road,1,65.0,val,621578.7674088626,4595158.477327845
road_0,road,1,65.0,val,621582.3577265944,4595160.24073891
road_1,road,1,65.0,val,621584.278009672,4595161.24103383
road_1,road,1,65.0,val,621582.7897481524,4595164.95385993
road_1,road,1,65.0,val,621581.3014866328,4595168.66668603
road_1,road,1,65.0,val,621579.8132251131,4595172.37951213
road_1,road,1,65.0,val,621578.3249635935,4595176.0923382295
road_1,road,1,65.0,val,621576.8367020739,4595179.80516433
road_1,road,1,65.0,val,621575.3484405543,4595183.51799043
road_1,road,1,65.0,val,621573.8601790346,4595187.23081653
road_1,road,1,65.0,val,621572.3719175151,4595190.94364263
road_1,road,1,65.0,val,621570.8836559955,4595194.65646873
road_1,road,1,65.0,val,621569.5425023757,4595198.423562927
road_1,road,1,65.0,val,621568.2630279374,4595202.21341057
road_1,road,1,65.0,val,621566.983553499,4595206.003258214
road_1,road,1,65.0,val,621565.7040790607,4595209.793105857
road_1,road,1,65.0,val,621564.864148084,4595213.696424529
road_1,road,1,65.0,val,621564.1492484884,4595217.632020871
road_1,road,1,65.0,val,621563.4343488927,4595221.567617213
