x,y,kind,split,cell_id
613862.717425077,4594028.493232286,added,train,12
613929.4794440679,4594006.86086595,added,train,12
613870.1392607256,4594044.795026279,added,train,12
613917.9260320275,4594046.782503655,added,train,12
613894.993752497,4594035.629888056,added,train,12
613717.5912835671,4594040.808362208,added,train,12
613723.1571031418,4594065.530350177,added,train,12
614042.8107311971,4594151.00637908,added,train,12
614012.9555623132,4594162.595539341,added,train,12
613978.939864773,4594164.093335825,added,train,12
614191.2602336198,4594039.39962781,added,train,12
614198.4047238613,4594068.38640728,added,train,12
614199.2550900078,4594097.392640074,added,train,12
614191.2977647173,4594122.942926851,added,train,12
614198.540196544,4594152.521390716,added,train,12
614206.2026431183,4594182.111197794,added,train,12
614213.8522160731,4594213.927251412,added,train,12
614220.9897400637,4594248.158406758,added,train,12
614225.3401736865,4594277.349795148,added,train,12
614226.7221047607,4594301.282793072,added,train,12
614283.9960620955,4594176.506327285,added,train,12
614269.6811765829,4594191.462214786,added,train,12
614301.067104169,4594155.084814782,added,train,12
614299.7676266192,4594121.227088741,added,train,12
614295.6209498247,4594086.832426655,added,train,12
614254.7058753608,4593998.272816281,added,train,12
614269.6636124655,4594024.290015087,added,train,12
614290.9485337057,4594045.211647118,added,train,12
614309.214628688,4594065.0840384355,added,train,12
614294.6032262191,4594063.614464316,added,train,12
614338.6623748649,4594072.161648807,added,train,12
614368.0586296378,4594081.282047157,added,train,12
614395.8602301714,4594094.452291041,added,train,12
614368.009762978,4594022.145672354,added,train,12
614396.3944591687,4594043.371044692,added,train,12
614426.4133862362,4594061.61273393,added,train,12
614461.2957951968,4594074.145439006,added,train,12
614118.8933106178,4593958.387030527,added,train,12
614144.9027650057,4593971.811389844,added,train,12
614152.6392447813,4593953.85428658,added,train,12
614149.1847812826,4593923.767405928,added,train,12
614190.8730223326,4593931.949326048,added,train,12
614181.8268007656,4593956.980916891,added,train,12
614235.444187349,4593984.579490725,added,train,12
614212.6326727469,4593985.35989404,added,train,12
614260.3369661353,4593984.743162356,added,train,12
614287.8404304018,4593983.986882996,added,train,12
614205.6458138546,4594007.941862136,added,train,12
614235.9771832163,4594024.405687933,added,train,12
614265.15262894,4594029.843011507,added,train,12
614102.4204098826,4593785.271937763,added,train,12
614096.5506110813,4593814.115123433,added,train,12
614088.8881288923,4593838.932599364,added,train,12
614210.7408485914,4593648.538846238,added,train,12
614220.0616450278,4593679.212906194,added,train,12
614238.881667282,4593704.490288496,added,train,12
614197.4303236423,4593619.951829296,added,train,12
614123.464062281,4593650.635321595,added,train,12
614144.7884599679,4593626.896592559,added,train,12
614175.1006198035,4593616.781204783,added,train,12
614169.983885269,4593561.520707109,added,train,12
614181.4278649726,4593590.452156765,added,train,12
614185.9172864686,4593606.780400429,added,train,12
614083.145061451,4593541.984888059,added,train,12
614283.9823699419,4591907.439817532,added,test,4
614247.6841330031,4591906.954427514,added,test,4
614212.2865805279,4591902.438789095,added,test,4
