plat_id,block_id,split,centroid_x,centroid_y
0,84,train,619685.152634352,4595966.38076067
206,41,train,621506.6275356333,4594390.299424857
207,52,train,621373.5278173963,4594606.049043129
208,53,train,621673.3246973208,4594595.803792311
209,54,train,621878.1968336726,4594597.66360317
210,54,train,621867.6560146963,4594500.524916207
211,54,train,621985.6574556793,4594612.157782504
212,54,train,622079.4720026865,4594529.412608372
213,53,train,621743.4013392951,4594707.393548158
214,54,train,621887.2675394876,4594698.947707034
215,54,train,621982.1263620052,4594739.460749488
216,54,train,622055.4543066142,4594767.148026256
217,54,train,622107.9285240375,4594682.649249892
218,55,train,622178.3393072601,4594825.765385992
219,55,train,622329.7661378782,4594772.804314197
220,55,train,622424.8270646343,4594804.962260747
221,67,train,622324.2358225349,4594956.595143967
222,67,train,622190.2578834493,4595047.540882452
223,66,val,621963.7053780644,4595081.668110448
224,66,val,621968.6020539083,4594990.915160401
225,54,train,621887.3363411453,4594856.560474754
226,53,train,621643.9315193698,4594838.8245701725
227,53,train,621725.5625234889,4594867.776743755
228,65,train,621489.9567295099,4594968.8939038655
229,65,train,621485.4799492958,4595189.52391487
230,64,test,621236.8902151684,4594991.583199867
231,64,test,621220.7525404632,4595071.022197071
232,64,test,621318.5790924305,4595072.723433057
233,64,test,621241.324099587,4595187.388194707
234,64,test,621333.6463942627,4595207.710832808
235,76,train,621368.486959739,4595337.863504815
236,76,train,621114.2536384456,4595310.03825978
237,76,train,621225.2730347236,4595323.550762074
238,64,test,621096.6507638204,4595217.299592759
239,76,train,621234.3701130328,4595424.686854052
240,76,train,621327.0814227123,4595490.006964466
241,76,train,621089.7375467384,4595450.066310745
242,76,train,621177.2618493962,4595595.026866314
243,88,train,621309.5494764461,4595626.154966986
244,77,val,621488.929556676,4595343.563741427
245,77,val,621593.6826459724,4595373.164915355
246,77,val,621724.6782534953,4595372.9765817635
247,77,val,621727.6762657521,4595482.977988578
248,78,train,621838.3850195986,4595484.78985409
249,78,train,621858.793560282,4595384.321625906
250,78,train,621948.9919269173,4595339.023153159
251,78,train,621866.8235126857,4595267.100612427
252,66,val,621952.6546653525,4595211.297421874
253,66,val,621882.4795463387,4595157.473853986
254,65,train,621746.8691701479,4595108.346872965
255,65,train,621620.7238214,4595226.847764107
256,77,val,621584.9024078667,4595501.504396238
257,77,val,621462.449948065,4595463.848430937
258,77,val,621458.6570802716,4595591.133782115
259,77,val,621718.4290757262,4595607.669754246
260,78,train,621940.0536308112,4595609.4666899005
261,90,train,621833.4116221633,4595725.171097747
262,90,train,621870.8993191234,4595734.200946091
263,90,train,622011.6063141566,4595782.681359992
264,91,train,622137.4643937747,4595767.6787922075
265,91,train,622193.4492567307,4595706.475684502
266,91,train,622292.8204076218,4595701.814055342
267,79,train,622315.0091456325,4595529.847447999
268,79,train,622168.187372447,4595540.333257514
269,79,train,622197.1790916523,4595397.749324355
270,79,train,622328.245973939,4595397.489136235
271,79,train,622326.5481189945,4595282.438515488
272,79,train,622177.3897177683,4595269.062570118
273,67,train,622199.067799083,4595178.753817738
274,67,train,622326.4901374123,4595180.058602608
275,67,train,622450.5912507675,4595077.095223949
276,67,train,622334.4810364229,4595031.003941336
277,66,val,622071.8384501073,4594932.128859395
278,66,val,621952.4777296749,4594881.043009037
279,66,val,621876.7335218171,4594993.0271681575
280,65,train,621749.604965824,4594984.435325475
281,65,train,621502.772619306,4595043.535637986
282,64,test,621341.676507637,4594971.6083371155
283,64,test,621097.2630595175,4594923.104841568
284,63,train,620967.0724256026,4595070.939393343
285,52,train,621079.4639733355,4594673.572832026
286,52,train,621227.9920016888,4594607.408708724
287,52,train,621352.4091720786,4594709.3711013235
288,43,train,622194.763748821,4594405.014548954
289,55,train,622301.4036755313,4594523.630028532
290,55,train,622295.7996837448,4594597.431695914
291,67,train,622185.0883907473,4594924.023551341
292,66,val,622092.3048654482,4595153.961530285
293,78,train,622070.2683645084,4595425.972243676
294,90,train,622021.3821717348,4595890.374969756
295,91,train,622165.8456740915,4595926.965328791
296,89,test,621704.8608045868,4595874.492689616
297,89,test,621563.0831527336,4595743.210440994
298,89,test,621447.5953695284,4595848.651988618
299,88,train,621329.6701301185,4595745.300759807
300,88,train,621218.0665208035,4595632.264609089
301,88,train,621185.1152791714,4595825.779427662
302,88,train,621067.4561078986,4595728.082527171
303,75,test,620929.3182091105,4595593.9698452735
